Gender,Season,block,model,games,brier,log_loss,roc_auc,average_precision,precision_at_05,recall_at_05,f1_at_05,ece_10_bins
M,2016,adjusted,hist,67,0.21132960507296206,0.6112891190148426,0.7318511796733213,0.6767853998409578,0.6333333333333333,0.6551724137931034,0.6440677966101694,0.12487749578155818
M,2016,adjusted,logistic,67,0.1971864200220996,0.578889698011971,0.7740471869328495,0.7102967678269679,0.625,0.6896551724137931,0.6557377049180327,0.1262115275276201
M,2016,dynamic,hist,67,0.20598668514933333,0.599855867399073,0.7413793103448276,0.6514280954886588,0.6153846153846154,0.5517241379310345,0.5818181818181818,0.08021293949548439
M,2016,dynamic,logistic,67,0.19249294308822662,0.5683464407190284,0.7831215970961888,0.7167790500300447,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.07971870081752935
M,2016,form,hist,67,0.20027265347341566,0.590586280056006,0.7622504537205081,0.6921755074237076,0.65625,0.7241379310344828,0.6885245901639344,0.12308610102499924
M,2016,form,logistic,67,0.18483056985703553,0.5603077661800656,0.8021778584392014,0.7365349641020499,0.6764705882352942,0.7931034482758621,0.7301587301587301,0.11434884556264341
M,2016,four_factors,hist,67,0.2030208338911611,0.5921929058864366,0.7450090744101633,0.6821330143662538,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.10792517572685172
M,2016,four_factors,logistic,67,0.19536675636743503,0.5749584592824726,0.7695099818511797,0.6914702832345024,0.65625,0.7241379310344828,0.6885245901639344,0.15863050501697795
M,2016,full,hist,67,0.19219151755507663,0.5682886540231317,0.7776769509981851,0.6786958667269424,0.6363636363636364,0.7241379310344828,0.6774193548387096,0.08622398862770748
M,2016,full,logistic,67,0.20656700714470144,0.6375559241594706,0.7676950998185118,0.6791477342838549,0.6333333333333333,0.6551724137931034,0.6440677966101694,0.14132536876910295
M,2016,history,hist,67,0.20383446915184425,0.5930705167185162,0.7441016333938294,0.6525955887514628,0.6176470588235294,0.7241379310344828,0.6666666666666666,0.11488884950997813
M,2016,history,logistic,67,0.19275304186886577,0.5684391541132835,0.7758620689655173,0.7026626243757569,0.6666666666666666,0.6896551724137931,0.6779661016949152,0.13567808484437374
