Gender,Season,teams,detailed_coverage,clean_coverage,ranking_teams
M,2013,347,1.0,0.9977051325812196,347
M,2014,351,1.0,0.9990197275068841,351
M,2015,351,1.0,0.997367376257501,351
M,2016,351,1.0,0.9982910319156748,351
M,2017,351,1.0,0.9985038311535345,351
M,2018,351,1.0,0.9991083538126548,351
M,2019,353,1.0,0.9990714909740063,353
M,2021,347,1.0,0.9916719131848805,347
M,2022,358,1.0,0.9899682942026259,358
M,2023,363,1.0,0.9907317831918296,363
M,2024,362,1.0,0.9904257454756931,362
M,2025,364,1.0,0.9891734277828347,364
M,2026,365,1.0,0.9882601682234433,365
W,2013,345,1.0,0.9980213132041251,0
W,2014,349,1.0,0.9973004329325365,0
W,2015,349,1.0,0.9977971683958279,0
W,2016,349,1.0,0.9977971601018022,0
W,2017,349,1.0,0.998451641668496,0
W,2018,349,1.0,0.9984639541875814,0
W,2019,351,1.0,0.9988779740494609,0
W,2021,343,1.0,0.9843366065048577,0
W,2022,356,1.0,0.9852074026210239,0
W,2023,361,1.0,0.9846823600449465,0
W,2024,360,1.0,0.9839435534363636,0
W,2025,362,1.0,0.9822387659600773,0
W,2026,363,1.0,0.9811554152863283,0
